method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
uv_joint,0.0,0,True,True,0.0175253811134581,-0.0166924844658379,-0.006503600336825029,0.0031991147348968147,243.30563675202535,14,2.0834359341857316,0.09576426841896951
polar_plain_joint,0.0,0,True,True,0.16672609324756354,-0.04268249402471593,-0.032502356590675394,0.16776448862469703,482.72586956153214,17,2.079782730228272,0.09592237679758517
polar_cov_joint,0.0,0,True,True,0.012491761607027533,-0.012700159922411039,-0.001631132136774396,0.0023546764343757294,221.29599707318738,14,2.0840008537902968,0.0957348504323361
polar_staged,0.0,0,True,True,0.01249174701881545,-0.012700146178237155,-0.0016311225182093104,0.0023546744012793016,221.2959970731916,16,2.0840008555854688,0.0957348503701171
uv_joint,0.0,1,True,True,0.017525381071865315,-0.01669248453971423,-0.006503600144379208,0.0031991146469131306,243.30563675202686,14,2.083435934117113,0.09576426840947884
polar_plain_joint,0.0,1,True,True,0.16672635595790186,-0.04268240369560488,-0.03250206779965308,0.1677648276184214,482.7258695618598,18,2.0797827535056346,0.09592237514952459
polar_cov_joint,0.0,1,True,True,0.012491772402293506,-0.012700170916233655,-0.0016311336567535269,0.002354678387869234,221.29599707318596,15,2.0840008527408522,0.0957348504385167
polar_staged,0.0,1,True,True,0.012491746960462569,-0.012700146137133257,-0.0016311225226763994,0.0023546742670821578,221.29599707319113,14,2.084000855247508,0.09573485035659196
uv_joint,0.0,2,True,True,0.0175253811134581,-0.01669248447914693,-0.006503600378728837,0.0031991151886856337,243.3056367520256,12,2.083435934060486,0.09576426842368206
polar_plain_joint,0.0,2,True,True,0.16672584845339253,-0.04268211720183678,-0.03250263424309624,0.1677641852744821,482.7258695650259,15,2.0797827520624046,0.0959223782209534
polar_cov_joint,0.0,2,True,True,0.012491767792424313,-0.012700166408684769,-0.0016311315345777144,0.0023546776030005747,221.29599707318687,12,2.084000853434481,0.09573485041974371
polar_staged,0.0,2,True,True,0.012491747077168332,-0.012700146200774566,-0.001631122544766942,0.0023546742124116037,221.29599707319096,16,2.084000855582821,0.09573485036565017
uv_joint,0.0,3,True,True,0.017525381155050885,-0.016692484507288476,-0.006503600305487023,0.0031991148756236373,243.30563675202436,13,2.083435934278333,0.09576426841439786
polar_plain_joint,0.0,3,True,True,0.166725862299612,-0.042682499904941336,-0.03250260984009643,0.16776419302533166,482.72586956367627,14,2.0797827169755814,0.09592237823886521
polar_cov_joint,0.0,3,True,True,0.012491758981150616,-0.012700157390183804,-0.0016311310829802968,0.002354675983490756,221.2959970731878,11,2.084000854203724,0.09573485040081126
polar_staged,0.0,3,True,True,0.01249174701881545,-0.012700146187925124,-0.0016311225488173785,0.0023546742835319867,221.29599707319105,20,2.084000855467452,0.0957348503486903
uv_joint,0.0,4,True,True,0.017525381155050885,-0.016692484528109983,-0.006503600379460365,0.0031991149570521973,243.3056367520264,12,2.0834359342842257,0.09576426840732508
polar_plain_joint,0.0,4,True,True,0.16672607959373226,-0.042682652974528,-0.032502377840840646,0.1677644649510525,482.7258695623742,18,2.079782714261042,0.09592237699201732
polar_cov_joint,0.0,4,True,True,0.012491771293590944,-0.012700169756667032,-0.0016311333236731186,0.0023546780131458228,221.29599707318556,13,2.0840008529960863,0.09573485042163729
polar_staged,0.0,4,True,True,0.01249174701881545,-0.012700146164272933,-0.0016311224361812149,0.002354674288678124,221.29599707319093,19,2.084000855374084,0.0957348503461605
uv_joint,0.0,5,True,True,0.0175253811134581,-0.016692484391646688,-0.0065036005783563515,0.003199115183841649,243.30563675202592,12,2.083435934076553,0.09576426841820498
polar_plain_joint,0.0,5,True,True,0.1667259704067622,-0.042682027705910196,-0.03250247244762122,0.1677643498015479,482.7258695647023,17,2.07978276880176,0.09592237726504395
polar_cov_joint,0.0,5,True,True,0.012491771118532634,-0.012700169660836917,-0.0016311332546359984,0.0023546780557461722,221.29599707318528,13,2.084000852966445,0.09573485044161913
polar_staged,0.0,5,True,True,0.012491746960462569,-0.01270014615246035,-0.0016311224562155287,0.0023546739639943803,221.29599707319088,18,2.084000855434138,0.09573485037122312
uv_joint,0.0,6,True,True,0.01752538127982925,-0.016692484637611707,-0.006503600397352575,0.003199114867284223,243.3056367520244,13,2.083435934093234,0.09576426842645391
polar_plain_joint,0.0,6,True,True,0.16672595798583262,-0.042682050272955484,-0.0325024790884556,0.1677643346426267,482.72586956444945,14,2.0797827663627073,0.0959223773182626
polar_cov_joint,0.0,6,True,True,0.01249176925124386,-0.01270016768286109,-0.0016311333448540224,0.0023546777565800186,221.2959970731867,12,2.0840008530804,0.0957348504257494
polar_staged,0.0,6,True,True,0.01249174701881545,-0.01270014617465426,-0.001631122465602936,0.0023546742829467647,221.29599707319142,16,2.0840008553887954,0.09573485036439544
